establish,"vi. 植物定植
suffering,"n. 受难；苦楚
v. 受苦；蒙受（suffer的ing形式）
adj. 受苦的；患病的"
tolerate,vt. 忍受；默许；宽恕
tolerant,adj. 宽容的；容忍的；有耐药力的
tolerance,n. 公差；宽容；容忍；公差
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
objectivity,n. 客观；客观性
wrongdoing,n. 坏事；不道德的行为
provoke,vt. 驱使；激怒；煽动；惹起
oppose,"vt. 反对；对抗，抗争
vi. 反对"
opposite,"adj. 相反的；对面的；对立的
n. 对立面；反义词
prep. 在…的对面
adv. 在对面"
skepticism,n. 怀疑论；怀疑的态度
skeptical,adj. 怀疑的；怀疑论的，不可知论的
humiliate,vt. 羞辱；使…丢脸；耻辱
humiliation,n. 丢脸，耻辱；蒙羞；谦卑
defy,"n. 挑战；对抗
vt. 藐视；公然反抗；挑衅；使落空"
exclude,vt. 排除；排斥；拒绝接纳；逐出
exclusive,"n. 独家新闻；独家经营的项目；排外者
adj. 独有的；排外的；专一的"
exclusively,adv. 唯一地；专有地；排外地
tough,"n. 恶棍
adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的
vt. 坚持；忍受，忍耐
adv. 强硬地，顽强地"
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
discontent,"n. 不满
adj. 不满的
vt. 使不满"
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
irony,"n. 讽刺；反语；具有讽刺意味的事
adj. 铁的；似铁的"
ironic,adj. 讽刺的；反话的
ironically,adv. 讽刺地；说反话地
desperate,adj. 不顾一切的；令人绝望的；极度渴望的
criticism,n. 批评；考证；苛求
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
questionable,adj. 可疑的；有问题的
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
hostility,n. 敌意；战争行动
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
resistance,n. 阻力；电阻；抵抗；反抗；抵抗力
resistant,"n. 抵抗者
adj. 抵抗的，反抗的；顽固的"
reluctant,adj. 不情愿的；勉强的；顽抗的
undermine,vt. 破坏，渐渐破坏；挖掘地基
burdensome,adj. 繁重的；累赘的；恼人的
hinder,"vt. 阻碍；打扰
adj. 后面的
vi. 成为阻碍"
contempt,n. 轻视，蔑视；耻辱
contemptuous,adj. 轻蔑的；侮辱的
lame,"adj. 跛足的；僵痛的；不完全的；无说服力的；差劲的，蹩脚的
vi. 变跛
vt. 使跛；使成残废"
lameness,n. 跛；残废；僵而疼痛的
supportive,adj. 支持的；支援的；赞助的
optimistic,adj. 乐观的；乐观主义的
optimism,n. 乐观；乐观主义
enthusiastic,adj. 热情的；热心的；狂热的
enthusiasm,n. 热心，热忱，热情
acceptable,adj. 可接受的；合意的；可忍受的
unacceptable,adj. 不能接受的；不受欢迎的
willing,"adj. 乐意的；自愿的；心甘情愿的
v. 决心；用意志力驱使；将（财产等）遗赠某人（will的现在分词）"
willingly,adv. 欣然地；愿意地，乐意地
willing to do sth.,
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
worthwhile,adj. 值得做的，值得花时间的
worthy,"n. 杰出人物；知名人士
adj. 值得的；有价值的；配得上的，相称的；可尊敬的；应…的"
approval,n. 批准；认可；赞成
favor,"n. 喜爱；欢心；好感
vt. 赞成；喜欢；像；赐予；证实"
favorable,adj. 有利的；良好的；赞成的，赞许的；讨人喜欢的
justified,"adj. 有正当理由的；合乎情理的；事出有因的
v. 调整（justify的过去分词）；证明…正当"
remarkable,adj. 卓越的；非凡的；值得注意的
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
satisfy,"vi. 令人满意；令人满足
vt. 满足；说服，使相信；使满意，使高兴"
satisfied,"v. 使满意（satisfy的过去式）
adj. 感到满意的"
dissatisfaction,n. 不满；令人不满的事物
advisable,adj. 明智的，可取的，适当的
advisability,n. 明智；可劝性；适当
cautious,adj. 谨慎的；十分小心的
caution,"n. 小心，谨慎；警告，警示
vt. 警告"
affirm,"vt. 肯定；断言
vi. 确认；断言"
instead,adv. 代替；反而；相反
rather than,"na. 而不
 而不是；宁愿；与其"
frank,"n. 免费邮寄特权
adj. 坦白的，直率的；老实的
vt. 免费邮寄"
frankly,adv. 真诚地，坦白地
indifferent,adj. 漠不关心的；无关紧要的；中性的，中立的
indifference,n. 漠不关心；冷淡；不重视；中立
uncertain,adj. 无常的；含糊的；靠不住的；迟疑不决的
uncertainty,n. 不确定，不可靠
envy,"n. 嫉妒，妒忌；羡慕
vt. 嫉妒，妒忌；羡慕
vi. 感到妒忌；显示出妒忌"
cater,vt. 投合，迎合；满足需要；提供饮食及服务
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
dramatically,"adv. 戏剧地；引人注目地
adv. 显著地，剧烈地"
inevitable,adj. 必然的，不可避免的
inevitably,adv. 不可避免地；必然地
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
fundamentally,adv. 根本地，从根本上；基础地
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
symbol,n. 象征；符号；标志
symbolize,"vt. 象征；用符号表现
vi. 采用象征；使用符号；作为…的象征"
symbolic,adj. 象征的；符号的；使用符号的
alongside,"prep. 在……旁边
adv. 在旁边"
entire,adj. 全部的，整个的；全体的
entirely,adv. 完全地，彻底地
shock,"n. 休克；震惊；震动；打击；禾束堆
adj. 浓密的；蓬乱的
vt. 使休克；使震惊；使震动；使受电击；把…堆成禾束堆
vi. 感到震惊；受到震动；堆成禾束堆"
shocking,"adj. 令人震惊的；可怕的，令人厌恶的；糟糕的
v. 感到震惊；震动；冲突（shock的ing形式）"
mere,"adj. 仅仅的；只不过的
n. 小湖；池塘"
merely,adv. 仅仅，只不过；只是
anti-regulatory, 反管制的
anti-,pref. 表示“反对，抵抗”之义
surpass,vt. 超越；胜过，优于；非…所能办到或理解
unsurpassed,adj. 非常卓越的；未被超越的
surplus,"n. 剩余； 顺差；盈余；过剩
adj. 剩余的；过剩的"
interrelation,n. 相互关系
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
foreshadow,"vt. 预示；成为…的前兆
n. 预兆"
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
overestimate,"vt. 对……评价过高；对……估计过高
n. 估计过高；评价过高；出价过高
vi. 估计过高；评价过高"
overvalue,vt. 对…估价过高；过分重视
overcharge,"n. 过度充电；超载；装药过多
vt. 对……索价过高；使……过度充电
vi. 过度充电；讨价过高"
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
underestimate,"n. 低估
vt. 低估；看轻"
undergo,vt. 经历，经受；忍受
unreasonable,adj. 不合理的；过度的；不切实际的；非理智的
unnecessary,adj. 不必要的；多余的，无用的
unfocused,adj. 不聚成焦点的
focused,"v.  聚焦；注视（focus的过去分词）
adj. 聚焦的；专心的"
unsettling,"adj. 使人不安的；（消息）扰乱的
v. 动乱不定；心绪不宁（unsettle的ing形式）"
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
impatience,n. 急躁；无耐心
immoral,adj. 不道德的；邪恶的；淫荡的
inequality,n. 不平等；不同；不平均
disapproval,n. 不赞成；不喜欢
disagree,vi. 不同意；不一致；争执；不适宜
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
devalue,"vt. 使贬值；降低…的价值
vi. 贬值"
deserve,"vi. 应受，应得
vt. 应受，应得"
defame,v. 诽谤；中伤
fame,"n. 名声，名望；传闻，传说
vt. 使闻名，使有名望"
deforestation,n. 采伐森林；森林开伐
demotivated,(demotivate 的过去分词) v. 使失去动力
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
designate,"vt. 指定；指派；标出；把…定名为
adj. 指定的；选定的"
reconsider,"vt. 重新考虑；重新审议
vi. 重新考虑"
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
remodel,vt. 改造；改变；改型
redirect,"n. 再直接询问
vt. 使改方向；重新寄送
adj. 再直接的"
direct,"adj. 直接的；直系的；亲身的；恰好的
vt. 管理；指挥；导演；指向
adv. 直接地；正好；按直系关系
vi. 指导；指挥"
redefine,vt. 重新定义
reassess,vt. 再评价；再课税；再摊派
assess,vt. 评定；估价；对…征税
reevaluate,v. 再评估，再评价
re-evaluate,重估
reinterpretation,n. 重新解释
interpret,"vi. 解释；翻译
vt. 说明；口译"
interpretation,n. 解释；翻译；演出
misinterpretation,n. 误解；误释
lessen,"vt. 使…变小；使…减轻；使…变少
vi. 减少；减轻；变小"
widen,"vt. 放宽
vi. 变宽"
sharpen,"vt. 削尖；磨快；使敏捷；加重
vi. 尖锐；变锋利"
shorten,"vt. 缩短；减少；变短
vi. 缩短；变短"
strengthen,"vt. 加强；巩固
vi. 变强；变坚挺"
enlarge,"vt. 扩大；使增大；扩展
vi. 扩大；放大；详述"
enlarged,"v. 扩大，增大（enlarge的过去分词）
adj. 放大的；增大的；扩展的"
endangered,adj. 濒临灭绝的；有生命危险的
enlighten,vt. 启发，启蒙；教导，开导；照耀
enlightened,"v. 启迪（enlighten的过去式）
adj. 开明的；文明的；进步的；被启发的"
mispredict, 误预测
misunderstand,vt. 误解；误会
mislead,vt. 误导；带错
misuse,"vt. 滥用；误用；虐待
n. 滥用；误用；虐待"
misguide,vt. 误导；使误入歧途
guide,"n. 指南；向导；入门书
vt. 引导；带领；操纵
vi. 担任向导"
guideline,"n. 指导方针
参考"
countermeasure,n. 对策；反措施；反抗手段
counteraction,n. 中和；反对的行动；抵抗；反动
counterbalance,"n. 平衡力；自动抵销
vt. 使平衡；抵消"
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
contradictory,"n. 对立物；矛盾因素
adj. 矛盾的；反对的；反驳的；抗辩的"
costless,adj. 不花钱的；无须付出代价的
costly,adj. 昂贵的；代价高的
jobless,"adj. 失业的，无业的；（关于）失业者的
n. 失业者"
worthless,adj. 无价值的；不值钱的；卑微的
forward,"n. 前锋
adj. 向前的；早的；迅速的
adv. 向前地；向将来
vt. 促进；转寄；运送"
shortage,n. 缺乏，缺少；不足
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
passage,n. 一段（文章）；走廊；通路
storage,n. 存储；仓库；贮藏所
livelihood,n. 生计，生活；营生
adulthood,n. 成年；成人期
girlhood,n. 少女时期
digitalize,v. 以洋地黄治疗
modernize,"vt. 使…现代化
vi. 现代化"
standardize,vt. 使标准化；用标准检验
nationalization,n. 国有化；同化，归化
voice,"n. 声音；嗓音；发言权；愿望
vt. 表达；吐露"
push,"n. 推，决心；大规模攻势；矢志的追求
vi. 推进；增加；努力争取
vt. 推动，增加；对…施加压力，逼迫；按；说服"
fire,"n. 火；火灾；炮火；炉火；热情；激情；磨难
vt. 点燃；解雇；开除；使发光；烧制；激动；放枪
vi. 着火；射击；开枪；激动；烧火"
thin,"n. 细小部分
adj. 薄的；瘦的；稀薄的；微弱的
vt. 使瘦；使淡；使稀疏
vi. 变薄；变瘦；变淡
adv. 稀疏地；微弱地"
providing,"conj. 假如，以…为条件
v. 供给（provide的ing形式）；预备"
check,"n. <美>支票；制止，抑制；检验，核对
vi. 核实，查核；中止；打勾；将一军
vt. 检查，核对；制止，抑制；在…上打勾"
traffic,"n. 交通；运输；贸易； 通信量
vt. 用…作交换；在…通行
vi. 交易，买卖"
room,"n. 房间；空间；余地；机会；房间里所有的人
vt. 为…提供住处；租房，合住；投宿，住宿；留…住宿
vi. 居住；住宿"
squeeze,"n. 压榨；紧握；拥挤；佣金
vt. 挤；紧握；勒索
vi. 压榨"
spark,"n. 火花；朝气；闪光
vt. 发动；鼓舞；求婚
vi. 闪烁；发火花；求婚"
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
even,"adj.  偶数的；平坦的；相等的
adv. 甚至；即使；还；实际上
vt. 使平坦；使相等
vi. 变平；变得可比较；成为相等"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
promotion,n. 提升， 晋升；推销，促销；促进；发扬，振兴
ground,"n. 地面；土地；范围；战场;根据
v. 研磨（grind的过去分词）；压迫
adj. 土地的；地面上的；磨碎的；磨过的
vt. 使接触地面；打基础；使搁浅
vi. 着陆；搁浅"
groundless,adj. 无理由的
meet,"vt. 满足；遇见；对付
vi. 相遇；接触
n. 集会
adj. 合适的；适宜的"
count,"n. 计数；计算；伯爵
vt. 计算；认为
vi. 计数；有价值"
certain,"adj. 某一；必然的；确信；无疑的；有把握的
pron. 某些；某几个"
mean,"adj. 平均的；卑鄙的；低劣的；吝啬的
vt. 意味；想要；意欲
n. 平均值
vi. 用意"
front,"n. 前面；正面；前线
adj. 前面的；正面的
vt. 面对；朝向；对付
vi. 朝向
adv. 在前面；向前"
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
feed,"n. 饲料；饲养；（动物或婴儿的）一餐
vt. 喂养；供给；放牧；抚养（家庭等）；靠…为生
vi. 吃东西；流入"
jump,"n. 跳跃；暴涨；惊跳
vt. 跳跃；使跳跃；跳过；突升
vi. 跳跃；暴涨；猛增"
bank,"n. 银行；岸；浅滩；储库
vt. 将…存入银行；倾斜转弯
vi. 堆积；倾斜转弯"
press,"n. 压；按；新闻；出版社； 印刷机
vt. 压；按；逼迫；紧抱
vi. 压；逼；重压"
fuel,"n. 燃料；刺激因素
vt. 供以燃料，加燃料
vi. 得到燃料"
wired,"adj. 接有电线的；以铁丝围起的；极其兴奋的
v. 以金属丝装；打电报给（wire的过去分词）"
hard-wired,adj.  硬连线的，硬接线的
blow,"n. 吹；打击；殴打
vt. 风吹
vi. 风吹；喘气"
giant,"n. 巨人；伟人； 巨大的动物
adj. 巨大的；巨人般的"
look,"vt. 看；期待；注意；面向；看上去像
vi. 看；看起来；注意；面向
n. 看；样子；面容"
tight,"adj. 紧的；密封的；绷紧的；麻烦的；严厉的；没空的；吝啬的
adv. 紧紧地；彻底地"
drop,"n. 滴；落下；空投；微量；滴剂
vt. 滴；使降低；使终止；随口漏出
vi. 下降；终止"
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
human,"n. 人；人类
adj. 人的；人类的"
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
cure,"n. 治疗；治愈； 疗法
vt. 治疗；治愈；使硫化；加工处理
vi. 治病；痊愈；受治疗；被硫化；被加工处理"
obvious,adj. 明显的；显著的；平淡无奇的
fold,"n. 折痕；信徒；羊栏
vt. 折叠；合拢；抱住；笼罩
vi. 折叠起来；彻底失败"
serve,"n. 发球，轮到发球
vi. 服役，服务；适合，足够；发球；招待，侍候
vt. 招待，供应；为…服务；对…有用；可作…用"
swallow,"n. 燕子；一次吞咽的量
vt. 忍受；吞没
vi. 吞下；咽下"
model,"n. 模型；典型；模范；模特儿；样式
vt. 模拟；塑造；模仿
vi. 做模型；做模特儿
adj. 模范的；作模型用的"
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
considered,adj. 经过深思熟虑的；被尊重的
considerable,adj. 相当大的；重要的，值得考虑的
merit,"n. 优点，价值；功绩；功过
vt. 值得
vi. 应受报答"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
according to,"prep. 根据；按照；据（…所说）；按（…所报道）
 依照；根据…所说；依据"
convey,vt. 传达；运输；让与
note,"n. 笔记；音符；票据；注解；纸币；便笺；照会；调子
vt. 注意；记录；注解"
point out,"na. 指出
 指明；说明；指示"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
deem,"vt. 认为，视作；相信
vi. 认为，持某种看法；作某种评价"
hold,"n. 控制；保留
vi. 支持；有效；持续
vt. 持有；拥有；保存；拘留；约束或控制
又作“Hold住”使用，中英混用词汇，表示轻松掌控全局。
"
argue,"vi. 争论，辩论；提出理由
vt. 辩论，争论；证明；说服"
regard,"n. 注意；尊重；问候；凝视
vi. 注意，注重；注视
vt. 注重，考虑；看待；尊敬；把…看作；与…有关"
in one's view, 依某人看来
sentiment,n. 感情，情绪；情操；观点；多愁善感
statement,n. 声明；陈述，叙述；报表，清单
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
infer,"vi. 推断；作出推论
vt. 推断；推论"
indicate,vt. 表明；指出；预示；象征
suggest,vt. 提议，建议；启发；使人想起；显示；暗示
imply,vt. 意味；暗示；隐含
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
motive,"n. 动机，目的；主题
adj. 发动的；成为动机的
vt. 使产生动机，激起"
intend to,"打算(做)..., 想要(做)..."
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
 有助于；促成；贡献"
due to,"un. 由于；预定；因为；亏
 应归于；由於；由…引起"
aim to,"un. 目的在于
 旨在；目的是；志在"
be aimed at, 针对；旨在；针对某人
in that,"na. 因为；以…的理由
 由于；在于；在…方面"
so as to,"na. (= in order to) 以便；为使
 为了；为的是；使得"
originate from,"v. 起源于；发源于
 来源于；来自；起源於"
lead to,"na. 通向
 导致；引起；通往"
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
mention,"vt. 提到，谈到；提及，论及；说起
n. 提及，说起"
cite,vt. 引用；传讯；想起；表彰
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
attitude,n. 态度；看法；意见；姿势
title,"n. 冠军；标题；头衔；权利；字幕
adj. 冠军的；标题的；头衔的
vt. 加标题于；赋予头衔；把…称为"
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
center on,"un. 围绕
 以…为中心；集中于；集中围绕"
summarize,"vt. 总结；概述
vi. 作总结；作概括"
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
regarding,prep. 关于，至于
with regard to,"na. 关于；对于；为了答复；“in/with regard to”的变体
 至于；就…而言；至于，就"
involve,vt. 包含；牵涉；使陷于；潜心于
refer to,"v. 查阅；提到
 参考；涉及；谈到"
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
characterize,"vt. 描绘…的特性；具有…的特征
vi. 塑造人物"
phrase,"n. 短语, 习语, 措辞, 乐句
vt. 措词, 将(乐曲)分成乐句"
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
